codec,language,sample,pesq,stoi,spk_sim
encodec,hindi,0,3.1642110347747803,0.9520804167781822,0.8927631378173828
encodec,hindi,1,3.2007057666778564,0.9537537108972826,0.9203609228134155
encodec,hindi,2,3.2662854194641113,0.9597467033315654,0.8988714218139648
encodec,hindi,3,3.2031564712524414,0.9536241330553528,0.8780850172042847
encodec,hindi,4,3.2403626441955566,0.95745175803075,0.8848972320556641
encodec,hindi,5,3.1442556381225586,0.9466284905376916,0.8896268606185913
encodec,hindi,6,3.253137588500977,0.9497884518074486,0.9119597673416138
encodec,hindi,7,3.1343886852264404,0.9521786918338844,0.9124704599380493
encodec,hindi,8,3.2461397647857666,0.9521033163771836,0.9098070859909058
encodec,hindi,9,3.0277156829833984,0.9541938372859604,0.8821355104446411
encodec,tamil,0,2.788266658782959,0.9110792114653335,0.8517675399780273
encodec,tamil,1,2.8989548683166504,0.9193479598713908,0.9351674318313599
encodec,tamil,2,2.951113224029541,0.9261413029415916,0.9338132739067078
encodec,tamil,3,2.737521171569824,0.8633637538245399,0.8783087730407715
encodec,tamil,4,2.7044622898101807,0.937806557097946,0.8656995296478271
encodec,tamil,5,3.035156488418579,0.9192741136352732,0.9325712323188782
encodec,tamil,6,2.6283774375915527,0.9359493943270248,0.9157660007476807
encodec,tamil,7,2.896517515182495,0.9209276643653688,0.9583306908607483
encodec,tamil,8,2.986833095550537,0.9363060734611552,0.8843035697937012
encodec,tamil,9,2.5238497257232666,0.9285231270453485,0.9237295985221863
encodec,telugu,0,2.1137125492095947,0.9363739713059888,0.9310612678527832
encodec,telugu,1,2.837456703186035,0.8789360793093814,0.958451509475708
encodec,telugu,2,2.6274404525756836,0.82708569527187,0.8939001560211182
encodec,telugu,3,3.0191259384155273,0.9155519504252856,0.9380256533622742
encodec,telugu,4,2.7572662830352783,0.913241630799366,0.9160598516464233
encodec,telugu,5,3.1271893978118896,0.898135698019736,0.8732194900512695
encodec,telugu,6,3.02238392829895,0.8559630780573404,0.9124472737312317
encodec,telugu,7,2.476491928100586,0.9120069218334768,0.9596689343452454
encodec,telugu,8,2.1912004947662354,0.8713303899628626,0.9374089241027832
encodec,telugu,9,3.02335524559021,0.8914947718713209,0.9293109178543091
encodec,bengali,0,2.9344754219055176,0.9462268149683298,0.926125168800354
encodec,bengali,1,2.3148491382598877,0.8263772529580472,0.8926743865013123
encodec,bengali,2,2.619842052459717,0.8816506819662389,0.8774961233139038
encodec,bengali,3,2.4364609718322754,0.8684752024362965,0.7963883280754089
encodec,bengali,4,2.5779712200164795,0.8367063211659866,0.8885776400566101
encodec,bengali,5,2.51476788520813,0.8220374848659656,0.8630656599998474
encodec,bengali,6,2.73453140258789,0.914640339261826,0.9369748830795288
encodec,bengali,7,2.195164680480957,0.9069009324720478,0.8187627792358398
encodec,bengali,8,2.4408769607543945,0.908455411875476,0.8624883890151978
encodec,bengali,9,2.5922691822052,0.8417661298626626,0.9100154638290405
encodec,kannada,0,2.3568074703216553,0.932978538174584,0.9282816052436829
encodec,kannada,1,3.0913443565368652,0.9535737423251855,0.9253789782524109
encodec,kannada,2,2.078352212905884,0.903157779398976,0.8964358568191528
encodec,kannada,3,3.0391154289245605,0.9350794901043205,0.9355207681655884
encodec,kannada,4,2.333355188369751,0.8954836060523206,0.9099785685539246
encodec,kannada,5,2.8386285305023193,0.9069881262988438,0.8776097297668457
encodec,kannada,6,2.513206243515014,0.8523037643898042,0.8229601383209229
encodec,kannada,7,3.218625783920288,0.945199193475792,0.9315096139907837
encodec,kannada,8,3.1984400749206543,0.9343488729815536,0.9349905848503113
encodec,kannada,9,2.580379009246826,0.8477816707105417,0.8683422803878784
dac,hindi,0,4.560442924499512,0.9970437014332324,0.9902551174163818
dac,hindi,1,4.548434734344482,0.996678087009796,0.9928801655769348
dac,hindi,2,4.5640950202941895,0.9969952519937751,0.9827045798301697
dac,hindi,3,4.561020851135254,0.9970433236045162,0.9164160490036011
dac,hindi,4,4.570226192474365,0.9971614012795456,0.9887293577194214
dac,hindi,5,4.524986743927002,0.9964656576478907,0.9905610084533691
dac,hindi,6,4.570815086364746,0.9964511413990764,0.9940050840377808
dac,hindi,7,4.558289527893066,0.9966226437509288,0.9923561811447144
dac,hindi,8,4.546610355377197,0.9963082095735312,0.9920927882194519
dac,hindi,9,4.535663604736328,0.9968938742537934,0.9887924194335938
dac,tamil,0,4.4056549072265625,0.9924190828057394,0.9886558055877686
dac,tamil,1,4.484390735626221,0.993211612478879,0.9928907155990601
dac,tamil,2,4.477031230926514,0.993987812840746,0.9918699860572815
dac,tamil,3,4.486224174499512,0.9817064705145772,0.9796764850616455
dac,tamil,4,4.440000057220459,0.9937123492013492,0.9892663955688477
